# step Etot Epot T p 
0 -3642.0381 -3642.0381 0.0 459.3182 
1 -3952.6623 -3952.6623 0.0 372.6317 
2 -4183.8382 -4183.8382 0.0 349.4451 
3 -4314.6964 -4314.6964 0.0 344.3598 
4 -4395.5679 -4395.5679 0.0 343.239 
5 -4568.2122 -4568.2122 0.0 323.0481 
6 -4614.8415 -4614.8415 0.0 299.4285 
7 -4537.7567 -4537.7567 0.0 271.6669 
8 -4615.73 -4615.73 0.0 302.5978 
9 -4720.077 -4720.077 0.0 312.0277 
10 -4716.9663 -4716.9663 0.0 316.7039 
11 -4731.8597 -4731.8597 0.0 314.8133 
12 -4801.0494 -4801.0494 0.0 307.5154 
13 -4799.8448 -4799.8448 0.0 297.2739 
14 -4809.266 -4809.266 0.0 302.9406 
15 -5043.0077 -5043.0077 0.0 268.6651 
16 -5159.6069 -5159.6069 0.0 234.7339 
17 -5159.3198 -5159.3198 0.0 200.5742 
18 -5173.5474 -5173.5474 0.0 217.8069 
19 -5173.4377 -5173.4377 0.0 216.0897 
20 -5173.5471 -5173.5471 0.0 217.5184 
21 -5173.5448 -5173.5448 0.0 217.807 
22 -5309.0848 -5309.0848 0.0 229.1241 
23 -5363.6381 -5363.6381 0.0 237.1662 
24 -5339.1744 -5339.1744 0.0 242.0118 
25 -5364.9709 -5364.9709 0.0 238.3197 
26 -5450.9847 -5450.9847 0.0 226.9118 
27 -5445.4671 -5445.4671 0.0 211.9853 
28 -5459.821 -5459.821 0.0 220.7778 
29 -5459.6801 -5459.6801 0.0 219.9478 
30 -5459.8197 -5459.8197 0.0 220.6953 
31 -5459.8209 -5459.8209 0.0 220.7603 
32 -5459.8208 -5459.8208 0.0 220.7778 
33 -5540.264 -5540.264 0.0 221.6729 
34 -5556.0976 -5556.0976 0.0 219.9364 
35 -5507.4275 -5507.4275 0.0 215.53 
36 -5558.1289 -5558.1289 0.0 220.6308 
37 -5632.3702 -5632.3702 0.0 211.588 
38 -5628.6071 -5628.6071 0.0 199.6606 
39 -5640.3462 -5640.3462 0.0 206.5526 
40 -5740.4596 -5740.4596 0.0 199.2571 
41 -5739.2127 -5739.2127 0.0 188.727 
42 -5752.3769 -5752.3769 0.0 194.5241 
43 -5844.1797 -5844.1797 0.0 180.9404 
44 -5852.1697 -5852.1697 0.0 164.7112 
45 -5775.7893 -5775.7893 0.0 145.8907 
46 -5858.7776 -5858.7776 0.0 171.6002 
47 -5858.7162 -5858.7162 0.0 170.9306 
48 -5858.7774 -5858.7774 0.0 171.5335 
49 -5933.3441 -5933.3441 0.0 175.5902 
50 -5930.9004 -5930.9004 0.0 176.9205 
51 -5941.7343 -5941.7343 0.0 176.5542 
52 -6009.5327 -6009.5327 0.0 164.8646 
53 -5984.1363 -5984.1363 0.0 150.016 
54 -6011.9318 -6011.9318 0.0 161.7492 
55 -6011.6575 -6011.6575 0.0 160.6602 
56 -6011.929 -6011.929 0.0 161.6412 
57 -6011.9315 -6011.9315 0.0 161.7357 
58 -6011.9315 -6011.9315 0.0 161.7492 
59 -6083.9649 -6083.9649 0.0 158.5479 
60 -6028.8954 -6028.8954 0.0 150.9138 
61 -6084.101 -6084.101 0.0 157.9844 
62 -6084.1677 -6084.1677 0.0 158.2014 
63 -6084.169 -6084.169 0.0 158.1714 
64 -6137.4961 -6137.4961 0.0 143.5595 
65 -6065.3229 -6065.3229 0.0 124.4743 
66 -6137.6898 -6137.6898 0.0 145.2268 
67 -6137.7404 -6137.7404 0.0 144.6868 
68 -6137.7413 -6137.7413 0.0 144.7453 
69 -6192.3862 -6192.3862 0.0 136.8141 
70 -6107.9244 -6107.9244 0.0 123.9336 
71 -6193.059 -6193.059 0.0 137.9013 
72 -6247.4271 -6247.4271 0.0 128.3809 
73 -6146.825 -6146.825 0.0 113.37 
74 -6248.9577 -6248.9577 0.0 130.1297 
75 -6248.943 -6248.943 0.0 129.9604 
76 -6248.9575 -6248.9575 0.0 130.1129 
77 -6300.2111 -6300.2111 0.0 139.2573 
78 -6214.5879 -6214.5879 0.0 143.4221 
79 -6301.1788 -6301.1788 0.0 138.3988 
80 -6301.1693 -6301.1693 0.0 138.4882 
81 -6301.1788 -6301.1788 0.0 138.4078 
82 -6344.5108 -6344.5108 0.0 138.5383 
83 -6252.1876 -6252.1876 0.0 133.5531 
84 -6346.6138 -6346.6138 0.0 138.9003 
85 -6346.5934 -6346.5934 0.0 138.872 
86 -6346.6136 -6346.6136 0.0 138.8975 
87 -6393.5034 -6393.5034 0.0 129.7751 
88 -6323.3658 -6323.3658 0.0 116.1626 
89 -6394.0033 -6394.0033 0.0 130.8952 
90 -6394.0007 -6394.0007 0.0 130.7853 
91 -6394.0037 -6394.0037 0.0 130.8653 
92 -6435.6907 -6435.6907 0.0 130.5702 
93 -6352.0289 -6352.0289 0.0 125.6096 
94 -6437.3127 -6437.3127 0.0 130.9499 
95 -6437.2991 -6437.2991 0.0 130.9178 
96 -6437.3127 -6437.3127 0.0 130.9468 
97 -6475.922 -6475.922 0.0 125.4417 
98 -6397.6688 -6397.6688 0.0 115.5378 
99 -6477.4829 -6477.4829 0.0 126.6873 
100 -6477.47 -6477.47 0.0 126.5687 
101 -6477.4829 -6477.4829 0.0 126.6756 
102 -6468.3737 -6468.3737 0.0 136.265 
103 -6492.2494 -6492.2494 0.0 131.7594 
104 -6456.9889 -6456.9889 0.0 140.9855 
105 -6517.4764 -6517.4764 0.0 136.7687 
106 -6516.8976 -6516.8976 0.0 137.3853 
107 -6517.4729 -6517.4729 0.0 136.8323 
108 -6517.4764 -6517.4764 0.0 136.7846 
109 -6506.2487 -6506.2487 0.0 152.1428 
110 -6544.5376 -6544.5376 0.0 144.9343 
111 -6555.8539 -6555.8539 0.0 124.3811 
112 -6360.6197 -6360.6197 0.0 97.8135 
113 -6576.2421 -6576.2421 0.0 134.276 
114 -6576.0582 -6576.0582 0.0 133.3401 
115 -6576.2422 -6576.2422 0.0 134.1829 
116 -6580.2667 -6580.2667 0.0 123.928 
117 -6393.2199 -6393.2199 0.0 107.0902 
118 -6602.0028 -6602.0028 0.0 129.6603 
119 -6601.7976 -6601.7976 0.0 129.1551 
120 -6602.0018 -6602.0018 0.0 129.6105 
121 -6602.0028 -6602.0028 0.0 129.6453 
122 -6602.0028 -6602.0028 0.0 129.6603 
123 -6628.4685 -6628.4685 0.0 129.9392 
124 -6534.5309 -6534.5309 0.0 126.4197 
125 -6633.1884 -6633.1884 0.0 130.2483 
126 -6633.144 -6633.144 0.0 130.2308 
127 -6633.188 -6633.188 0.0 130.2468 
128 -6633.1882 -6633.1882 0.0 130.248 
129 -6633.1883 -6633.1883 0.0 130.2483 
130 -6658.8994 -6658.8994 0.0 148.7552 
131 -6589.5529 -6589.5529 0.0 164.009 
132 -6661.3963 -6661.3963 0.0 144.8131 
133 -6690.6699 -6690.6699 0.0 150.46 
134 -6651.0057 -6651.0057 0.0 153.6408 
135 -6690.8293 -6690.8293 0.0 150.0063 
136 -6690.8536 -6690.8536 0.0 150.1332 
137 -6716.7414 -6716.7414 0.0 159.0675 
138 -6675.3557 -6675.3557 0.0 165.3083 
139 -6717.1632 -6717.1632 0.0 158.1971 
140 -6743.4891 -6743.4891 0.0 159.6688 
141 -6705.3146 -6705.3146 0.0 158.6806 
142 -6743.7312 -6743.7312 0.0 159.6373 
143 -6743.7345 -6743.7345 0.0 159.6419 
144 -6775.7452 -6775.7452 0.0 162.3777 
145 -6756.6889 -6756.6889 0.0 163.4868 
146 -6776.1762 -6776.1762 0.0 162.6087 
147 -6807.3699 -6807.3699 0.0 171.4677 
148 -6786.1641 -6786.1641 0.0 178.7558 
149 -6807.6091 -6807.6091 0.0 172.262 
150 -6807.6069 -6807.6069 0.0 172.1833 
151 -6807.6093 -6807.6093 0.0 172.2523 
152 -6834.1296 -6834.1296 0.0 186.7193 
153 -6794.1903 -6794.1903 0.0 199.2774 
154 -6834.4099 -6834.4099 0.0 185.3678 
155 -6834.4094 -6834.4094 0.0 185.504 
156 -6860.2108 -6860.2108 0.0 188.9904 
157 -6808.3006 -6808.3006 0.0 190.3881 
158 -6861.1793 -6861.1793 0.0 188.5796 
159 -6861.1706 -6861.1706 0.0 188.6238 
160 -6861.1794 -6861.1794 0.0 188.585 
161 -6892.0135 -6892.0135 0.0 193.6092 
162 -6845.5964 -6845.5964 0.0 196.3343 
163 -6892.3006 -6892.3006 0.0 193.2251 
164 -6892.3007 -6892.3007 0.0 193.2653 
165 -6925.526 -6925.526 0.0 199.0729 
166 -6890.6054 -6890.6054 0.0 203.4959 
167 -6925.1943 -6925.1943 0.0 198.5736 
168 -6925.5036 -6925.5036 0.0 199.0302 
169 -6925.5048 -6925.5048 0.0 199.075 
170 -6925.5045 -6925.5045 0.0 199.08 
171 -6955.1562 -6955.1562 0.0 199.9512 
172 -6933.1281 -6933.1281 0.0 200.0419 
173 -6955.3121 -6955.3121 0.0 199.9898 
174 -6955.3208 -6955.3208 0.0 199.9835 
175 -6938.1814 -6938.1814 0.0 213.3184 
176 -6970.3804 -6970.3804 0.0 206.3789 
177 -6907.1807 -6907.1807 0.0 213.0513 
178 -6987.7603 -6987.7603 0.0 209.7362 
179 -6987.5977 -6987.5977 0.0 209.451 
180 -6987.76 -6987.76 0.0 209.7081 
181 -6989.3917 -6989.3917 0.0 196.3794 
182 -6802.0834 -6802.0834 0.0 177.937 
183 -7012.0884 -7012.0884 0.0 203.5259 
184 -7011.872 -7011.872 0.0 202.8647 
185 -7012.0872 -7012.0872 0.0 203.4602 
186 -7012.0886 -7012.0886 0.0 203.5094 
187 -6989.6059 -6989.6059 0.0 191.1023 
188 -7033.824 -7033.824 0.0 199.1155 
189 -7033.6127 -7033.6127 0.0 199.5988 
190 -7033.8225 -7033.8225 0.0 199.1643 
191 -7033.8241 -7033.8241 0.0 199.1224 
192 -7019.9068 -7019.9068 0.0 196.4255 
193 -7052.8446 -7052.8446 0.0 198.6563 
194 -7042.707 -7042.707 0.0 179.2526 
195 -7071.3043 -7071.3043 0.0 190.6965 
196 -7066.4745 -7066.4745 0.0 195.5876 
197 -7088.8922 -7088.8922 0.0 193.5892 
198 -7080.2762 -7080.2762 0.0 198.2393 
199 -7103.9371 -7103.9371 0.0 196.2974 
200 -7103.7034 -7103.7034 0.0 196.564 
201 -7103.9352 -7103.9352 0.0 196.3247 
202 -7103.9371 -7103.9371 0.0 196.3001 
203 -7101.8132 -7101.8132 0.0 189.2264 
204 -7119.4373 -7119.4373 0.0 193.4362 
205 -7119.2641 -7119.2641 0.0 193.0688 
206 -7119.4361 -7119.4361 0.0 193.3999 
207 -7119.4374 -7119.4374 0.0 193.4312 
208 -7121.5848 -7121.5848 0.0 170.8206 
209 -7006.9928 -7006.9928 0.0 144.8349 
210 -7134.9719 -7134.9719 0.0 182.1501 
211 -7134.846 -7134.846 0.0 181.054 
212 -7134.9712 -7134.9712 0.0 182.0409 
213 -7134.972 -7134.972 0.0 182.1204 
214 -7139.2074 -7139.2074 0.0 181.1644 
215 -7037.8598 -7037.8598 0.0 176.9502 
216 -7150.3131 -7150.3131 0.0 182.0291 
217 -7150.2063 -7150.2063 0.0 181.9745 
218 -7150.3125 -7150.3125 0.0 182.0239 
219 -7150.3131 -7150.3131 0.0 182.028 
220 -7164.0028 -7164.0028 0.0 183.0739 
221 -7097.7092 -7097.7092 0.0 182.0491 
222 -7168.2102 -7168.2102 0.0 182.9742 
223 -7168.1713 -7168.1713 0.0 182.9947 
224 -7168.2101 -7168.2101 0.0 182.9764 
225 -7176.0647 -7176.0647 0.0 191.2973 
226 -7097.6463 -7097.6463 0.0 197.0067 
227 -7183.1809 -7183.1809 0.0 188.2306 
228 -7183.1141 -7183.1141 0.0 188.5574 
229 -7183.1807 -7183.1807 0.0 188.2635 
230 -7183.181 -7183.181 0.0 188.2423 
231 -7198.6431 -7198.6431 0.0 197.3412 
232 -7146.5949 -7146.5949 0.0 204.5883 
233 -7201.0543 -7201.0543 0.0 195.0899 
234 -7201.0314 -7201.0314 0.0 195.3216 
235 -7201.0541 -7201.0541 0.0 195.1132 
236 -7201.0543 -7201.0543 0.0 195.0971 
237 -7213.5762 -7213.5762 0.0 195.843 
238 -7152.3128 -7152.3128 0.0 194.6288 
239 -7217.4918 -7217.4918 0.0 195.8317 
240 -7217.4569 -7217.4569 0.0 195.8425 
241 -7217.4916 -7217.4916 0.0 195.833 
242 -7232.9773 -7232.9773 0.0 189.7317 
243 -7176.8455 -7176.8455 0.0 181.941 
244 -7235.7245 -7235.7245 0.0 191.6416 
245 -7235.7017 -7235.7017 0.0 191.4568 
246 -7235.7246 -7235.7246 0.0 191.6233 
247 -7247.5562 -7247.5562 0.0 196.6063 
248 -7179.7927 -7179.7927 0.0 200.0637 
249 -7252.2756 -7252.2756 0.0 195.0734 
250 -7252.2351 -7252.2351 0.0 195.236 
251 -7252.2759 -7252.2759 0.0 195.0897 
252 -7252.2758 -7252.2758 0.0 195.0853 
253 -7252.2759 -7252.2759 0.0 195.0897 
254 -7283.3014 -7283.3014 0.0 205.4293 
255 -7279.7776 -7279.7776 0.0 216.3002 
256 -7286.1962 -7286.1962 0.0 209.6816 
257 -7286.1422 -7286.1422 0.0 210.3286 
258 -7286.1964 -7286.1964 0.0 209.7463 
259 -7191.9627 -7191.9627 0.0 203.1737 
260 -7299.4403 -7299.4403 0.0 209.7145 
261 -7220.9347 -7220.9347 0.0 219.3755 
262 -7310.3682 -7310.3682 0.0 213.3308 
263 -7310.2685 -7310.2685 0.0 213.0037 
264 -7310.3681 -7310.3681 0.0 213.2984 
265 -7287.6051 -7287.6051 0.0 229.4077 
266 -7326.0254 -7326.0254 0.0 219.9983 
267 -7325.8767 -7325.8767 0.0 219.3504 
268 -7326.0244 -7326.0244 0.0 219.9338 
269 -7326.0255 -7326.0255 0.0 219.9844 
270 -7314.8051 -7314.8051 0.0 211.1974 
271 -7341.2822 -7341.2822 0.0 216.4565 
272 -7333.9189 -7333.9189 0.0 195.7423 
273 -7355.432 -7355.432 0.0 207.4832 
274 -7342.8011 -7342.8011 0.0 202.9548 
275 -7367.9896 -7367.9896 0.0 206.028 
276 -7349.6534 -7349.6534 0.0 216.159 
277 -7379.0324 -7379.0324 0.0 210.384 
278 -7378.9243 -7378.9243 0.0 209.9762 
279 -7379.0316 -7379.0316 0.0 210.3435 
280 -7379.0324 -7379.0324 0.0 210.3797 
281 -7361.1874 -7361.1874 0.0 222.1068 
282 -7389.2823 -7389.2823 0.0 215.3182 
283 -7389.0094 -7389.0094 0.0 216.0748 
284 -7389.2802 -7389.2802 0.0 215.3947 
285 -7389.2824 -7389.2824 0.0 215.3298 
286 -7371.0048 -7371.0048 0.0 234.4119 
287 -7399.2835 -7399.2835 0.0 222.9604 
288 -7390.8007 -7390.8007 0.0 231.805 
289 -7409.7328 -7409.7328 0.0 227.1387 
290 -7409.5485 -7409.5485 0.0 227.6544 
291 -7409.7312 -7409.7312 0.0 227.1908 
292 -7409.7328 -7409.7328 0.0 227.1459 
293 -7407.7489 -7407.7489 0.0 224.1596 
294 -7420.2057 -7420.2057 0.0 226.0249 
295 -7420.0837 -7420.0837 0.0 225.8684 
296 -7420.2044 -7420.2044 0.0 226.0097 
297 -7420.2057 -7420.2057 0.0 226.0233 
298 -7420.2056 -7420.2056 0.0 226.0249 
299 -7424.8545 -7424.8545 0.0 225.7818 
300 -7358.6353 -7358.6353 0.0 223.9381 
301 -7431.4652 -7431.4652 0.0 226.098 
302 -7431.4035 -7431.4035 0.0 226.0804 
303 -7431.4648 -7431.4648 0.0 226.0965 
304 -7431.4652 -7431.4652 0.0 226.0977 
305 -7434.1392 -7434.1392 0.0 235.9962 
306 -7366.5972 -7366.5972 0.0 243.918 
307 -7441.5332 -7441.5332 0.0 231.6857 
308 -7441.4623 -7441.4623 0.0 232.1367 
309 -7441.5327 -7441.5327 0.0 231.7311 
310 -7441.5332 -7441.5332 0.0 231.6956 
311 -7448.1221 -7448.1221 0.0 241.1454 
312 -7395.673 -7395.673 0.0 249.0268 
313 -7452.484 -7452.484 0.0 237.6801 
314 -7452.4442 -7452.4442 0.0 238.0372 
315 -7452.4841 -7452.4841 0.0 237.7159 
316 -7461.1332 -7461.1332 0.0 245.7762 
317 -7424.2593 -7424.2593 0.0 252.674 
318 -7463.2508 -7463.2508 0.0 243.4217 
319 -7463.2313 -7463.2313 0.0 243.6623 
320 -7463.2507 -7463.2507 0.0 243.4458 
321 -7474.2855 -7474.2855 0.0 248.1199 
322 -7451.2488 -7451.2488 0.0 251.9317 
323 -7474.7677 -7474.7677 0.0 247.3747 
324 -7474.7627 -7474.7627 0.0 247.4509 
325 -7474.7676 -7474.7676 0.0 247.3823 
326 -7483.0056 -7483.0056 0.0 250.7263 
327 -7457.4207 -7457.4207 0.0 253.1156 
328 -7484.0666 -7484.0666 0.0 249.9689 
329 -7484.057 -7484.057 0.0 250.0476 
330 -7484.0668 -7484.0668 0.0 249.9767 
331 -7484.0666 -7484.0666 0.0 249.9754 
332 -7484.0668 -7484.0668 0.0 249.9767 
333 -7496.675 -7496.675 0.0 253.5227 
334 -7489.8394 -7489.8394 0.0 256.6201 
335 -7496.8886 -7496.8886 0.0 254.0192 
336 -7496.8214 -7496.8214 0.0 254.2927 
337 -7496.888 -7496.888 0.0 254.0468 
338 -7496.8885 -7496.8885 0.0 254.0224 
339 -7496.8885 -7496.8885 0.0 254.0193 
340 -7514.9768 -7514.9768 0.0 259.2958 
341 -7521.5363 -7521.5363 0.0 264.446 
342 -7516.1353 -7516.1353 0.0 269.5588 
343 -7521.5323 -7521.5323 0.0 264.9579 
344 -7521.5435 -7521.5435 0.0 264.6872 
345 -7521.5438 -7521.5438 0.0 264.7291 
346 -7536.5681 -7536.5681 0.0 270.1835 
347 -7534.1585 -7534.1585 0.0 275.3066 
348 -7537.7318 -7537.7318 0.0 272.0763 
349 -7549.1119 -7549.1119 0.0 277.1723 
350 -7535.3726 -7535.3726 0.0 281.4671 
351 -7549.1014 -7549.1014 0.0 276.7003 
352 -7549.1398 -7549.1398 0.0 276.957 
353 -7564.5148 -7564.5148 0.0 281.7821 
354 -7561.1913 -7561.1913 0.0 286.2713 
355 -7565.5122 -7565.5122 0.0 283.2629 
356 -7565.5014 -7565.5014 0.0 283.1162 
357 -7565.5123 -7565.5123 0.0 283.2482 
358 -7578.4272 -7578.4272 0.0 285.6191 
359 -7562.2972 -7562.2972 0.0 287.6758 
360 -7578.4364 -7578.4364 0.0 285.4004 
361 -7578.4732 -7578.4732 0.0 285.5034 
362 -7591.6015 -7591.6015 0.0 290.51 
363 -7565.3497 -7565.3497 0.0 295.4861 
364 -7592.1211 -7592.1211 0.0 289.7036 
365 -7592.1182 -7592.1182 0.0 289.7843 
366 -7592.1212 -7592.1212 0.0 289.7143 
367 -7596.9977 -7596.9977 0.0 299.8213 
368 -7531.8445 -7531.8445 0.0 309.2176 
369 -7603.4134 -7603.4134 0.0 295.5935 
370 -7603.3552 -7603.3552 0.0 296.0235 
371 -7603.4136 -7603.4136 0.0 295.6365 
372 -7603.4136 -7603.4136 0.0 295.6193 
373 -7613.0552 -7613.0552 0.0 296.5633 
374 -7562.7186 -7562.7186 0.0 297.1753 
375 -7616.4583 -7616.4583 0.0 296.3018 
376 -7616.4288 -7616.4288 0.0 296.3297 
377 -7616.4586 -7616.4586 0.0 296.3045 
378 -7616.4585 -7616.4585 0.0 296.3038 
379 -7616.4586 -7616.4586 0.0 296.3045 
380 -7628.2229 -7628.2229 0.0 295.5517 
381 -7584.1389 -7584.1389 0.0 294.4351 
382 -7630.5086 -7630.5086 0.0 295.8183 
383 -7630.4882 -7630.4882 0.0 295.7938 
384 -7630.5086 -7630.5086 0.0 295.8159 
385 -7636.0893 -7636.0893 0.0 296.1976 
386 -7572.8637 -7572.8637 0.0 295.1149 
387 -7642.0884 -7642.0884 0.0 296.223 
388 -7642.0303 -7642.0303 0.0 296.2328 
389 -7642.0882 -7642.0882 0.0 296.224 
390 -7642.0884 -7642.0884 0.0 296.2233 
391 -7648.7466 -7648.7466 0.0 300.8961 
392 -7587.1561 -7587.1561 0.0 304.0588 
393 -7654.2286 -7654.2286 0.0 299.2112 
394 -7654.1764 -7654.1764 0.0 299.3913 
395 -7654.2286 -7654.2286 0.0 299.2292 
396 -7666.4508 -7666.4508 0.0 298.9305 
397 -7620.4153 -7620.4153 0.0 297.9406 
398 -7668.8354 -7668.8354 0.0 299.1031 
399 -7668.8137 -7668.8137 0.0 299.0894 
400 -7668.8354 -7668.8354 0.0 299.1018 
401 -7680.5918 -7680.5918 0.0 303.9574 
402 -7633.2856 -7633.2856 0.0 308.3569 
403 -7683.2137 -7683.2137 0.0 302.573 
404 -7683.1918 -7683.1918 0.0 302.7132 
405 -7683.2139 -7683.2139 0.0 302.5871 
406 -7688.482 -7688.482 0.0 309.6653 
407 -7627.2506 -7627.2506 0.0 315.6467 
408 -7694.2739 -7694.2739 0.0 306.8544 
409 -7694.2216 -7694.2216 0.0 307.1452 
410 -7694.2737 -7694.2737 0.0 306.8837 
411 -7694.2741 -7694.2741 0.0 306.8655 
412 -7694.2739 -7694.2739 0.0 306.8683 
413 -7694.2741 -7694.2741 0.0 306.8655 
414 -7701.5676 -7701.5676 0.0 303.0529 
415 -7652.7514 -7652.7514 0.0 298.3333 
416 -7705.3012 -7705.3012 0.0 304.5912 
417 -7705.2672 -7705.2672 0.0 304.4444 
418 -7705.3012 -7705.3012 0.0 304.5765 
419 -7716.3979 -7716.3979 0.0 306.3 
420 -7683.8856 -7683.8856 0.0 307.7996 
421 -7717.6389 -7717.6389 0.0 305.9215 
422 -7717.629 -7717.629 0.0 305.9605 
423 -7717.6389 -7717.6389 0.0 305.9257 
424 -7730.5673 -7730.5673 0.0 311.0922 
425 -7706.9494 -7706.9494 0.0 316.3752 
426 -7730.9181 -7730.9181 0.0 310.3651 
427 -7730.9169 -7730.9169 0.0 310.4373 
428 -7730.9188 -7730.9188 0.0 310.3824 
429 -7730.9187 -7730.9187 0.0 310.3807 
430 -7730.9188 -7730.9188 0.0 310.3824 
431 -7740.0868 -7740.0868 0.0 314.5507 
432 -7707.3769 -7707.3769 0.0 318.6608 
433 -7741.6585 -7741.6585 0.0 313.4172 
434 -7741.647 -7741.647 0.0 313.531 
435 -7741.6587 -7741.6587 0.0 313.4301 
436 -7751.7661 -7751.7661 0.0 312.9856 
437 -7722.9381 -7722.9381 0.0 312.6906 
438 -7752.8262 -7752.8262 0.0 313.0947 
439 -7752.8191 -7752.8191 0.0 313.0834 
440 -7752.8267 -7752.8267 0.0 313.0932 
441 -7763.458 -7763.458 0.0 315.4469 
442 -7736.7261 -7736.7261 0.0 317.9165 
443 -7764.2798 -7764.2798 0.0 314.9486 
444 -7764.2731 -7764.2731 0.0 314.9985 
445 -7764.28 -7764.28 0.0 314.9536 
446 -7774.0713 -7774.0713 0.0 322.4511 
447 -7744.4848 -7744.4848 0.0 329.9143 
448 -7775.2801 -7775.2801 0.0 320.5961 
449 -7775.2687 -7775.2687 0.0 320.7823 
450 -7775.2797 -7775.2797 0.0 320.6149 
