frame    mol0
    0      NA
    1   0.000
    2   2.258
    3   1.905
    4   1.928
    5   2.482
    6   2.247
    7   2.118
    8   2.219
    9   2.405
   10   2.377
   11   2.870
   12   2.469
   13   2.961
   14   2.820
   15   3.345
   16   3.092
   17   4.020
   18   3.380
   19   3.259
   20   3.588
   21   3.046
   22   2.896
   23   2.944
   24   3.426
   25   3.885
   26   4.003
   27   3.545
   28   2.830
   29   3.517
   30   2.928
   31   2.770
   32   3.077
   33   3.029
   34   2.952
   35   3.078
   36   3.123
   37   3.225
   38   3.637
   39   3.529
   40   3.739
   41   3.489
   42   3.522
   43   3.243
   44   4.351
   45   3.807
   46   3.999
   47   3.796
   48   3.763
   49   3.877
   50   3.398
   51   3.759
   52   3.472
   53   3.100
   54   3.305
   55   3.139
   56   3.442
   57   3.506
   58   3.329
   59   2.964
   60   2.866
   61   3.652
   62   3.836
   63   3.679
   64   3.830
   65   3.698
   66   3.153
   67   3.395
   68   2.784
   69   3.787
   70   2.885
   71   2.882
   72   3.051
   73   3.559
   74   4.077
   75   3.486
   76   2.908
   77   3.011
   78   2.465
   79   3.131
   80   2.975
   81   3.166
   82   3.417
   83   2.830
   84   3.889
   85   3.443
   86   3.317
   87   2.577
   88   3.833
   89   3.774
   90   2.949
   91   3.100
   92   3.472
   93   3.771
   94   3.987
   95   3.581
   96   3.154
   97   3.462
   98   4.053
   99   3.376
  100   3.802
  101   3.176

